S. No.,Feature,Level,Frequency,Proportion (%),First Mode
1,Age Group,65 and older,47967,47.14,65 and older
1,Age Group,50 to 64 years,21684,21.31,
1,Age Group,35 to 49 years,16825,16.54,
1,Age Group,18 to 34 years,15277,15.01,
2,Sex at Birth,Female,55795,54.83,Female
2,Sex at Birth,Male,45958,45.17,
3,Marital Status,Married/Common-law,55861,54.9,Married/Common-law
3,Marital Status,"Widowed/Divorced/Separated/Single, never married",45517,44.73,
3,Marital Status,Not stated,375,0.37,
4,Considered suicide - lifetime,No,86422,84.93,No
4,Considered suicide - lifetime,Yes,11645,11.44,
4,Considered suicide - lifetime,Not stated,3304,3.25,
4,Considered suicide - lifetime,Refusal,237,0.23,
4,Considered suicide - lifetime,Don’t know,145,0.14,
5,Considered suicide - last 12 months,Valid skip,86422,84.93,Valid skip
5,Considered suicide - last 12 months,No,9379,9.22,
5,Considered suicide - last 12 months,Not stated,3686,3.62,
5,Considered suicide - last 12 months,Yes,2248,2.21,
5,Considered suicide - last 12 months,Don’t know,13,0.01,
5,Considered suicide - last 12 months,Refusal,5,0.0,
6,Smoking status,Lifetime abstainer (never smoked),38239,37.58,Lifetime abstainer (never smoked)
6,Smoking status,Former daily smoker (non-smoker now),31042,30.51,
6,Smoking status,"Experimental smoker (at least 1 cig, non-smoker now)",13019,12.79,
6,Smoking status,Current daily smoker,10226,10.05,
6,Smoking status,Not stated,3799,3.73,
6,Smoking status,Former occasional smoker (non-smoker now),3393,3.33,
6,Smoking status,Current occasional smoker,2035,2.0,
7,Severity of Canabis Dependence,Valid skip,80483,79.1,Valid skip
7,Severity of Canabis Dependence,0,13693,13.46,
7,Severity of Canabis Dependence,Not stated,3868,3.8,
7,Severity of Canabis Dependence,1,1512,1.49,
7,Severity of Canabis Dependence,2,862,0.85,
7,Severity of Canabis Dependence,3,587,0.58,
7,Severity of Canabis Dependence,4,265,0.26,
7,Severity of Canabis Dependence,5,164,0.16,
7,Severity of Canabis Dependence,6,124,0.12,
7,Severity of Canabis Dependence,7,59,0.06,
7,Severity of Canabis Dependence,8,42,0.04,
